days_after,expert_accuracy,expert_weighted_score,crowd_accuracy,crowd_weighted_score,winner_by_accuracy
1,0.6532258064516129,25.846774193548388,0.75,46.577174411405416,crowd
3,0.6370967741935484,18.927419354838708,0.7338709677419355,44.41425278491489,crowd
7,0.6209677419354839,15.32258064516129,0.7258064516129032,43.3920507987284,crowd
15,0.6290322580645161,15.548387096774194,0.6854838709677419,35.68031357750387,crowd
30,0.6693548387096774,21.056451612903224,0.6693548387096774,30.969938542132173,tie
