model,accuracy,precision,recall,f1_score,win_rate,total_return_pct,avg_return_pct,median_return_pct,std_return_pct,variance,avg_confidence,median_confidence,std_confidence
Expert,0.6419354838709678,0.6511499670836076,0.6419354838709678,0.6456046415037237,0.6419354838709678,2979.6766139735128,4.805930022537924,8.921496253848867,17.454098325611113,304.64554836010063,60.791935483870965,60.0,7.922015025254232
Crowd,0.7129032258064516,0.7035950913892196,0.7129032258064516,0.7040521404227259,0.7129032258064516,4567.590822565209,7.36708197187937,10.636875443489298,16.535363568676672,273.41824834831976,89.6038706387,97.53449837480652,14.240952189318966
Baseline,0.6435483870967742,0.41415452653485946,0.6435483870967742,0.5039760676184748,0.6435483870967742,3371.300102136872,5.43758080989818,8.415938001570579,17.267448387509084,298.16477381529006,,,
