model,confidence_range,count,win_rate,avg_return_pct,total_return_pct,std_return_pct
Expert,0-50,5,0.0,-10.863692024371122,-54.31846012185561,1.7177856656910522
Expert,50-60,397,0.5768261964735516,2.833118968925682,1124.7482306634959,17.097531789106558
Expert,60-70,161,0.7080745341614907,6.632585380199187,1067.8462462120692,19.51523434971388
Expert,70-80,29,0.9310344827586207,14.211183620896373,412.1243250059948,9.101357175217071
Expert,80-100,28,1.0,15.33130922948412,429.27665842555535,4.599300080661357
Crowd,50-60,45,0.5333333333333333,1.2806979760648936,57.63140892292021,14.620026883508656
Crowd,60-70,36,0.5833333333333334,2.572817792939481,92.62144054582132,17.145637749020988
Crowd,70-80,62,0.6129032258064516,3.130177505031856,194.07100531197509,16.82886207537502
Crowd,80-100,477,0.7526205450733753,8.853810597310273,4223.267654917,16.37368558339355
