model,accuracy,precision,recall,f1_score,win_rate,total_return_pct,avg_return_pct,median_return_pct,std_return_pct,variance,avg_confidence,median_confidence,std_confidence
Expert,0.6419354838709678,0.6511499670836076,0.6419354838709678,0.6456046415037237,0.6419354838709678,2979.677000185259,4.805930645460095,8.921496253848867,17.4540989534156,304.64557027562347,60.791935483870965,60.0,7.922015025254232
Crowd,0.7129032258064516,0.7035950913892196,0.7129032258064516,0.7040521404227259,0.7129032258064516,4567.591509697717,7.367083080157608,10.636875443489298,16.535363918130784,273.41825990502144,89.6038706387,97.53449837480652,14.240952189318966
Baseline,0.6435483870967742,0.41415452653485946,0.6435483870967742,0.5039760676184748,0.6435483870967742,3371.300334567836,5.437581184786833,8.415934139117748,17.267449077508974,298.1647976443655,,,
